student_id,first_name,last_name,email,age,year_level,course,section,gpa,units_enrolled,tuition_fee,scholarship,region,contact_no,student_status
2021-03220,Jacob,,jacob.shaw@school.edu.ph,17.0,3rd Year,BS Nursing,A,2.55,18.0,41342.76,No,Region II,09302456229,Regular
2021-07962,Tyler,Stewart,tyler.stewart@school.edu.ph,17.0,1st Year,BS Psychology,D,3.08,21.0,33674.61,No,CAR,09588361228,Regular
2021-09402,Robin,Hopkins,robin.hopkins@school.edu.ph,25.0,1st Year,BS Education,C,1.45,24.0,52176.68,No,Region II,,Regular
2021-06784,Zachary,Gilbert,zachary.gilbert@school.edu.ph,22.0,1st Year,BS Nursing,B,2.03,15.0,36679.26,No,Region III,09714824024,Regular
2021-03811,Kathleen,Horton,kathleen.horton@school.edu.ph,24.0,Year 3,BS Education,A,1.26,21.0,33819.93,No,Region V,09347305375,Regular
2021-01295,Jacob,Nelson,jacob.nelson@school.edu.ph,22.0,3rd Year,BS Information Technology,B,1.61,21.0,41049.2,Yes,Region III,09290731191,Irregular
2021-00479,James,Martin,james.martin@school.edu.ph,22.0,fourth year,BS Nursing,A,,24.0,46000.49,No,NCR,,IRREG
2021-01037,Barbara,Keller,barbara.keller@school.edu.ph,16.0,2nd Year,BS Civil Engineering,A,1.32,24.0,58703.81,No,Region III,09612712419,Regular
2021-09194,Zachary,Combs,zachary.combs@school.edu.ph,20.0,3rd Year,BS Business Administration,A,1.4,21.0,31762.57,No,Region II,09835779269,Regular
2021-01736,Joseph,Davidson,joseph.davidson@school.edu.ph,25.0,4th Year,BS Civil Engineering,B,3.22,18.0,30232.05,No,Region XII,09698054214,Regular
2021-03264,James,Hernandez,james.hernandez@school.edu.ph,25.0,1st Year,BS Civil Engineering,B,2.64,15.0,26845.85,No,Region VI,09696796440,Reg
2021-04471,Lawrence,Davis,lawrence.davis@school.edu.ph,25.0,4th Year,BS Education,B,1.97,15.0,26666.57,Yes,BARMM,09525092245,Irregular
2021-03886,Mary,Rodriguez,mary.rodriguez@school.edu.ph,16.0,4th Year,BS Computer Science,A,1.63,21.0,31734.45,No,CAR,09988209893,Regular
2021-04856,Kevin,Rodriguez,kevin.rodriguez@school.edu.ph,21.0,1st Year,BS Accountancy,B,1.27,21.0,35350.65,No,Region X,09141953985,transferee
2021-00403,Timothy,Miller,timothy.miller@school.edu.ph,21.0,second year,BS Computer Science,A,2.28,21.0,34845.01,No,Region IX,09528233234,irregular
2021-03745,Allison,Cook,allison.cook@school.edu.ph,25.0,first year,BS Nursing,D,2.95,21.0,48667.18,No,Region X,09870013710,Regular
2021-08088,Emily,Cole,emily.cole@school.edu.ph,26.0,3rd Year,BS Accountancy,B,2.57,18.0,41134.61,No,Region IV-B,,Regular
2021-03754,Julia,Baldwin,julia.baldwin@school.edu.ph,20.0,3rd Year,BS Business Administration,B,1.71,18.0,31763.07,No,Region IV-B,09631130130,Regular
2021-01990,Mitchell,Torres,mitchell.torres@school.edu.ph,18.0,3,BS Tourism,A,1.79,21.0,36635.05,Yes,Region X,09645845541,Transferee
2021-02465,Michael,Harris,michael.harris@school.edu.ph,20.0,3rd Year,BS Nursing,A,3.42,18.0,42782.09,No,Region XI,09234927412,Regular
2021-02405,Cindy,Smith,cindy.smith@school.edu.ph,24.0,3rd Year,BS Education,B,1.21,18.0,27931.66,No,Region XI,09805859259,Irregular
2021-07529,Chad,Leonard,chad.leonard@school.edu.ph,17.0,3rd Year,BS Business Administration,B,2.65,18.0,27029.19,No,Region X,09171402243,Irregular
2021-06219,Vanessa,Cain,vanessa.cain@school.edu.ph,17.0,2nd Year,BS Business Administration,C,1.76,21.0,37510.37,No,CAR,,Transferee
2021-07553,Nathan,Jones,nathan.jones@school.edu.ph,25.0,3rd Year,BS Accountancy,B,2.34,18.0,34748.12,Yes,Region XI,09175931766,Transfer
2021-05549,Joshua,Freeman,joshua.freeman@school.edu.ph,22.0,1st Year,BS Nursing,C,1.77,21.0,38472.25,Yes,Region VII,09213862140,Irreg
2021-05735,Mary,Nolan,mary.nolan@school.edu.ph,26.0,3,BS Computer Science,A,1.63,18.0,34078.53,No,Region VII,09629010366,Regular
2021-06723,  Nathan  ,Orozco,nathan.orozco@school.edu.ph,17.0,4th Year,BS Tourism,E,1.48,24.0,51720.27,No,Region V,09907509543,Regular
2021-00181,Melissa,Walters,melissa.walters@school.edu.ph,25.0,Year 2,BS Civil Engineering,A,2.29,21.0,52038.16,Yes,CAR,09444132724,Irregular
2021-09987,Ronnie,Brown,ronnie.brown@school.edu.ph,23.0,2nd Year,BS Civil Engineering,A,2.11,21.0,33830.79,No,Region IX,09754351049,Regular
2021-00248,Melissa,Carter,melissa.carter@school.edu.ph,25.0,4th Year,BS Education,A,1.55,24.0,39369.78,No,Region IV-B,09352829507,Irregular
2021-02705,Reginald,Ramos,reginald.ramos@school.edu.ph,18.0,3rd Year,BS Business Administration,A,3.32,24.0,51940.68,Yes,Region III,09352316238,Regular
2021-05211,Anna,Carrillo,anna.carrillo@school.edu.ph,20.0,4th Year,BS Civil Engineering,A,2.93,21.0,41168.57,No,Region III,09552964165,Irregular
2021-07273,Kim,Gallagher,kim.gallagher@school.edu.ph,18.0,3rd Year,BS Information Technology,B,3.16,24.0,40855.51,No,CAR,09744074145,Regular
2021-05886,Christopher,Rios,christopher.rios@school.edu.ph,19.0,Second Year,BS Psychology,C,1.19,21.0,39116.33,Yes,Region IX,09752170882,IRREG
2021-00164,Alec,Charles,alec.charles@school.edu.ph,16.0,2nd Year,BS Nursing,C,1.29,18.0,29085.45,Yes,Region IV-B,09610147017,reg
2021-04184,Karen,Palmer,karen.palmer@school.edu.ph,19.0,1,BS Nursing,C,1.78,21.0,46425.58,No,Region XII,09987288467,irregular
2021-09009,John,Taylor,john.taylor@school.edu.ph,25.0,2,BS Tourism,A,1.99,21.0,38122.55,No,Region VIII,09443597385,Regular
2021-09351,Ebony,Johnson,ebony.johnson@school.edu.ph,24.0,1st Year,BS Architecture,C,2.15,21.0,46725.5,Yes,Region IV-B,09908036622,Regular
2021-08499,Morgan,Potts,morgan.potts@school.edu.ph,26.0,1st Year,BS Nursing,C,2.47,18.0,35420.17,No,Region IV-A,09956384754,REGULAR
2021-04658,Wendy,Townsend,wendy.townsend@school.edu.ph,26.0,2nd Year,BS Civil Engineering,C,1.7,21.0,38525.37,No,Region IV-A,09253045844,Irregular
2021-00860,David,Cruz,david.cruz@school.edu.ph,20.0,1st Year,BS Psychology,B,2.82,21.0,40603.62,No,Region IV-A,09596820037,Returnee
2021-06393,Jennifer,Lambert,jennifer.lambert@school.edu.ph,24.0,3rd Year,BS Nursing,A,2.21,21.0,48283.21,No,Region XII,09456337216,irregular
2021-03631,Robert,Watkins,robert.watkins@school.edu.ph,16.0,3rd Year,BS Accountancy,B,2.33,18.0,31548.16,Yes,BARMM,09133532963,Regular
2021-02266,Jacob,Hines,jacob.hines@school.edu.ph,25.0,3rd Year,BS Civil Engineering,B,1.92,18.0,27331.87,No,Region VI,09428747917,REGULAR
2021-07222,Wendy,Mills,wendy.mills@school.edu.ph,19.0,1st Year,BS Tourism,B,2.69,18.0,27630.28,No,CAR,09775495142,reg
2021-04836,Donald,Williams,donald.williams@school.edu.ph,23.0,1st Year,BS Accountancy,D,3.11,18.0,29891.78,Yes,Region IV-B,09984634188,Transferee
2021-05607,Rebecca,Schmidt,rebecca.schmidt@school.edu.ph,26.0,4th Year,BS Psychology,B,1.85,21.0,37406.27,No,Region VIII,09765444783,Regular
2021-02515,Robert,Ruiz,robert.ruiz@school.edu.ph,19.0,3rd Year,BS Accountancy,B,3.12,24.0,44825.02,No,Region IV-B,09754428401,Regular
2021-07899,Christopher,Hines,christopher.hines@school.edu.ph,20.0,1st Year,BS Architecture,C,3.34,18.0,34047.04,Yes,Region IV-B,09122188902,Irregular
2021-03841,Derrick,Brown,derrick.brown@school.edu.ph,22.0,2nd Year,BS Education,C,2.56,15.0,29565.56,No,Region VI,09747503441,regular
2021-03802,Victoria,,victoria.burke@school.edu.ph,24.0,4th Year,BS Business Administration,A,N/A,18.0,42511.46,No,Region VIII,09431264192,Regular
2021-07534,Robert,Cox,robert.cox@school.edu.ph,25.0,2nd Year,BS Information Technology,C,,18.0,37253.41,Yes,Region VI,09806763027,Regular
2021-04785,Devon,Weaver,devon.weaver@school.edu.ph,22.0,2nd Year,BS Business Administration,B,2.42,18.0,41238.92,Yes,CAR,09675375964,irregular
2021-03176,  David  ,Armstrong,david.armstrong@school.edu.ph,24.0,1st Year,BS Tourism,B,2.14,15.0,33957.53,No,CAR,09986247548,Regular
2021-07497,John,Martin,john.martin@school.edu.ph,23.0,1st Year,BS Information Technology,D,1.58,21.0,45873.62,No,Region X,09938580505,Regular
2021-07505,Audrey,Oliver,audrey.oliver@school.edu.ph,21.0,2nd Year,BS Nursing,A,2.25,24.0,50365.04,No,NCR,09285399330,Returnee
2021-08518,  Melissa  ,Grant,melissa.grant@school.edu.ph,21.0,4th Year,BS Psychology,B,2.3,24.0,43285.3,No,Region II,09949421482,Regular
2021-04756,  Laura  ,Ross,LAURA.ROSS@SCHOOL.EDU.PH,23.0,4th Year,BS Nursing,A,2.87,21.0,35203.29,No,Region IV-B,09843074217,Transferee
2021-08960,Jennifer,Davis,jennifer.davis@school.edu.ph,24.0,fourth year,BS Nursing,B,3.34,21.0,34004.62,Yes,Region X,09669562242,Regular
2021-07437,Brent,Mccann,brent.mccann@school.edu.ph,26.0,1st Year,BS Information Technology,A,2.47,21.0,51235.23,No,BARMM,09976813920,irregular
2021-02360,David,Hartman,david.hartman@school.edu.ph,24.0,1st Year,BS Psychology,D,2.03,21.0,37293.26,Yes,BARMM,09544472750,reg
2021-07164,Emily,Williams,emily.williams@school.edu.ph,23.0,3rd Year,BS Architecture,A,2.56,21.0,51063.53,Yes,Region XII,09894977917,Regular
2021-07389,Ashley,Gardner,ashley.gardner@school.edu.ph,21.0,1st Year,BS Computer Science,D,2.92,24.0,51228.5,No,Region VII,09936320817,Regular
2021-04829,Stephanie,Briggs,stephanie.briggs@school.edu.ph,20.0,1st Year,BS Civil Engineering,A,1.39,18.0,36126.16,Yes,BARMM,09154064947,Regular
2021-08505,Jeffrey,Stanley,jeffrey.stanley@school.edu.ph,19.0,1st Year,BS Nursing,A,2.4,21.0,41726.01,No,Region IV-A,09769912818,Transferee
2021-03663,Eric,Davis,eric.davis@school.edu.ph,24.0,1st Year,BS Computer Science,C,1.31,21.0,34454.12,No,Region VI,09505691670,Irregular
2021-00921,Aaron,Spears,aaron.spears@school.edu.ph,23.0,Year 4,BS Civil Engineering,B,2.72,21.0,49661.42,No,Region I,09472614736,REG
2021-06672,Taylor,Klein,taylor.klein@school.edu.ph,17.0,3rd Year,BS Information Technology,B,1.18,18.0,35831.48,No,Region IV-B,09597173429,REGULAR
2021-00213,Andrew,Perkins,andrew.perkins@school.edu.ph,22.0,3rd Year,BS Computer Science,A,2.64,15.0,33847.99,Yes,Region III,09721455106,Regular
2021-04593,Lindsay,Liu,lindsay.liu@school.edu.ph,23.0,2nd Year,BS Civil Engineering,C,1.22,15.0,35769.71,Yes,NCR,09134142338,TRANSFEREE
2021-01767,Javier,Gilbert,javier.gilbert@school.edu.ph,16.0,third year,BS Architecture,A,1.53,18.0,36899.29,No,Region XI,09842493520,Regular
2021-03055,Nathan,Kelley,nathan.kelley@school.edu.ph,17.0,3rd Year,BS Nursing,A,2.04,21.0,37822.78,No,Region XII,09168968950,Regular
2021-06262,Ronald,Bailey,ronald.bailey@school.edu.ph,24.0,4th Year,BS Information Technology,A,1.92,24.0,44781.54,No,Region II,,Reg
2021-02058,Eric,Murphy,eric.murphy@school.edu.ph,20.0,2nd Year,BS Information Technology,A,3.12,21.0,49311.89,No,Region IV-B,09703104265,REGULAR
2021-01790,Cory,Wolf,cory.wolf@school.edu.ph,18.0,2nd Year,BS Psychology,B,1.64,18.0,34620.65,No,Region V,09219695502,Regular
2021-04769,Cynthia,Turner,cynthia.turner@school.edu.ph,20.0,3rd Year,BS Information Technology,B,2.92,21.0,38773.88,No,Region VI,09218584160,REG
2021-06748,Andrew,Griffin,andrew.griffin@school.edu.ph,26.0,1st Year,BS Computer Science,C,,21.0,51696.87,No,Region VIII,09192924475,Irregular
2021-07367,Lauren,Bryan,lauren.bryan@school.edu.ph,25.0,SECOND YEAR,BS Computer Science,B,1.31,24.0,38924.36,No,Region V,09441713055,REG
2021-01852,Sandra,Hill,sandra.hill@school.edu.ph,17.0,3rd Year,BS Information Technology,B,1.27,18.0,34301.25,No,Region II,09312725013,REG
2021-02409,Roger,Hall,roger.hall@school.edu.ph,24.0,4th Year,BS Information Technology,B,1.06,24.0,54962.57,no,CAR,09256878133,transfer
2021-00202,Miranda,Marshall,miranda.marshall@school.edu.ph,25.0,First Year,BS Computer Science,D,3.0,18.0,43792.86,No,Region VI,09666606892,Regular
2021-08779,Rebecca,Larsen,rebecca.larsen@school.edu.ph,17.0,THIRD YEAR,BS Accountancy,B,2.8,24.0,36477.9,No,Region VI,09629926445,Regular
2021-07693,Joshua,Coleman,joshua.coleman@school.edu.ph,25.0,1st Year,BS Tourism,B,,21.0,40190.58,No,Region X,09257424246,Regular
2021-00309,Stacy,Moore,stacy.moore@school.edu.ph,22.0,3rd Year,BS Tourism,A,1.35,18.0,34026.73,No,BARMM,09978138128,Regular
2021-04612,Angela,Miller,angela.miller@school.edu.ph,23.0,1st Year,BS Civil Engineering,D,1.24,24.0,39808.94,No,Region VI,,Regular
2021-05258,Timothy,Lawson,timothy.lawson@school.edu.ph,24.0,2,BS Civil Engineering,B,1.1,18.0,27065.75,No,Region III,09186457263,Irregular
2021-02754,Cory,Franklin,cory.franklin@school.edu.ph,21.0,2nd Year,BS Accountancy,B,2.45,24.0,44987.65,No,BARMM,09631708622,Returnee
2021-09123,Nicholas,Larson,nicholas.larson@school.edu.ph,21.0,3rd Year,BS Psychology,B,1.69,18.0,37032.76,Yes,Region III,09773974194,Regular
2021-09144,Lisa,Williams,lisa.williams@school.edu.ph,18.0,2nd Year,BS Psychology,C,3.13,21.0,37386.98,Yes,Region XII,09437020223,Regular
2021-03600,Roger,Delgado,roger.delgado@school.edu.ph,26.0,THIRD YEAR,BS Architecture,A,2.75,18.0,43567.28,No,Region III,09515970340,Irregular
2021-01730,Joshua,Kent,joshua.kent@school.edu.ph,25.0,3rd Year,BS Computer Science,A,2.06,18.0,28112.11,Yes,Region V,09185255990,IRREGULAR
2021-01817,Justin,Smith,justin.smith@school.edu.ph,19.0,1st Year,BS Accountancy,A,1.58,15.0,22531.03,Yes,Region II,09832741219,Regular
2021-01606,Robin,Gay,robin.gay@school.edu.ph,20.0,2nd Year,BS Tourism,A,2.75,18.0,38131.32,No,Region IV-B,09730100168,Regular
2021-01573,Chelsea,Diaz,chelsea.diaz@school.edu.ph,19.0,3rd Year,BS Psychology,A,3.38,18.0,36635.39,No,Region I,09317225359,Return
2021-01453,Travis,Buchanan,travis.buchanan@school.edu.ph,26.0,4th Year,BS Psychology,B,2.25,21.0,41010.38,No,Region IX,09351113725,Regular
2021-00439,Kimberly,Fowler,kimberly.fowler@school.edu.ph,16.0,3rd Year,BS Civil Engineering,B,1.64,18.0,41478.99,No,Region XII,09116564216,REG
2021-09099,Kelsey,Obrien,kelsey.obrien@school.edu.ph,17.0,4th Year,BS Civil Engineering,B,2.14,18.0,41713.18,No,Region X,09770738389,Regular
2021-00638,Cassie,Daniel,cassie.daniel@school.edu.ph,21.0,Year 1,BS Civil Engineering,D,1.1,24.0,45507.45,No,Region VIII,09500657771,Reg
2021-09785,Megan,Love,megan.love@school.edu.ph,18.0,2nd Year,BS Architecture,C,,21.0,47093.32,No,Region IV-A,09632089656,irregular
2021-05969,Barbara,Schmidt,barbara.schmidt@school.edu.ph,24.0,4th Year,BS Nursing,B,2.42,18.0,27117.95,No,Region IX,09239841896,Regular
2021-09374,Jacob,Garrett,jacob.garrett@school.edu.ph,26.0,Year 4,BS Civil Engineering,A,2.64,15.0,25806.86,No,Region VIII,09725754532,Regular
2021-03141,Julie,Tran,julie.tran@school.edu.ph,16.0,2nd Year,BS Business Administration,C,3.38,18.0,41499.43,No,CAR,09251300266,Transferee
2021-00271,Eric,Briggs,eric.briggs@school.edu.ph,25.0,3rd Year,BS Psychology,B,2.32,18.0,38505.26,No,Region I,09698123420,reg
2021-05854,Brendan,Johnson,brendan.johnson@school.edu.ph,21.0,4th Year,BS Information Technology,B,3.37,21.0,50500.06,No,Region VII,09246143511,Irregular
2021-08465,Kevin,Parks,kevin.parks@school.edu.ph,16.0,4th Year,BS Information Technology,A,2.39,21.0,33491.43,No,CAR,09914291504,Regular
2021-08932,Christy,Schmidt,christy.schmidt@school.edu.ph,18.0,1st Year,BS Accountancy,C,3.09,24.0,42888.04,No,Region X,09715293993,Regular
2021-03520,Michael,Foster,michael.foster@school.edu.ph,23.0,1st Year,BS Tourism,C,3.01,24.0,44069.04,No,Region V,09997319881,Irregular
2021-07238,David,Ramirez,david.ramirez@school.edu.ph,24.0,4th Year,BS Architecture,A,1.75,18.0,34463.94,No,Region VIII,09799308705,Irregular
2021-05965,Henry,Jackson,henry.jackson@school.edu.ph,22.0,2nd Year,BS Architecture,B,,21.0,45365.51,No,Region III,09325547936,reg
2021-01599,Heather,Anderson,heather.anderson@school.edu.ph,17.0,1st Year,BS Computer Science,D,2.37,24.0,47183.34,No,BARMM,09824925532,Regular
2021-08765,Lawrence,Green,lawrence.green@school.edu.ph,25.0,1st Year,BS Business Administration,C,1.41,18.0,35341.34,Yes,Region VI,09834851529,regular
2021-00237,Elizabeth,Johnson,elizabeth.johnson@school.edu.ph,24.0,1st Year,BS Accountancy,C,3.25,18.0,40865.47,No,Region IV-B,09387547650,regular
2021-09389,Ann,Stevenson,ann.stevenson@school.edu.ph,17.0,2nd Year,BS Tourism,C,1.69,21.0,35697.98,No,Region II,09386699379,Regular
2021-02352,Anne,Russell,anne.russell@school.edu.ph,20.0,4th Year,BS Information Technology,B,1.7,24.0,41860.02,No,Region VI,09700856380,Irregular
2021-00418,Andrea,Ruiz,andrea.ruiz@school.edu.ph,21.0,2nd Year,BS Architecture,B,1.25,21.0,34942.81,No,BARMM,09916267975,Regular
2021-06801,Michael,Diaz,michael.diaz@school.edu.ph,21.0,FIRST YEAR,BS Business Administration,D,2.92,18.0,44931.44,No,Region XII,09548847292,reg
2021-06619,Danielle,Jones,danielle.jones@school.edu.ph,24.0,2nd Year,BS Accountancy,C,1.23,24.0,55906.97,No,Region VI,09363722073,Irregular
2021-05948,Raymond,Martinez,raymond.martinez@school.edu.ph,26.0,1st Year,BS Business Administration,D,2.41,21.0,49142.48,Yes,Region XII,09463999473,Regular
2021-01511,Kevin,Jones,kevin.jones@school.edu.ph,21.0,3rd Year,BS Computer Science,A,2.16,21.0,39332.36,No,Region XI,09814537172,Regular
2021-01830,Cameron,Espinoza,cameron.espinoza@school.edu.ph,22.0,1st Year,BS Nursing,D,1.61,21.0,41377.58,Yes,Region III,09128421680,Regular
2021-02516,Stephen,Webb,stephen.webb@school.edu.ph,23.0,4th Year,BS Information Technology,A,1.78,18.0,29564.29,No,Region XI,095812992,Regular
2021-01317,Jacob,Campos,jacob.campos@school.edu.ph,23.0,2nd Year,BS Civil Engineering,C,1.82,18.0,42627.58,No,Region IV-A,09241389348,Irregular
2021-07251,Calvin,Parker,calvin.parker@school.edu.ph,18.0,4th Year,BS Accountancy,B,1.22,21.0,38985.89,No,Region III,09654416001,Transferee
2021-07234,Christopher,Barnett,christopher.barnett@school.edu.ph,22.0,2nd Year,BS Tourism,B,3.47,18.0,27226.13,No,Region VI,09744930437,Regular
2021-04247,Brenda,Palmer,brenda.palmer@school.edu.ph,23.0,FIRST YEAR,BS Nursing,D,2.91,21.0,31545.92,No,Region XII,09798642489,Reg
2021-04091,Dana,Graham,dana.graham@school.edu.ph,19.0,3rd Year,BS Computer Science,A,2.55,24.0,53224.6,No,Region VI,09720754042,Regular
2021-07054,Alyssa,Mendez,alyssa.mendez@school.edu.ph,18.0,2nd Year,BS Civil Engineering,B,2.72,21.0,47367.12,No,Region VIII,09826027747,Regular
2021-01589,Christopher,Schroeder,christopher.schroeder@school.edu.ph,18.0,2nd Year,BS Business Administration,A,1.19,18.0,34814.93,No,Region VII,09501431312,Transferee
2021-02499,Jaclyn,Bailey,jaclyn.bailey@school.edu.ph,23.0,4th Year,BS Architecture,B,3.03,21.0,32756.17,No,Region VI,09859112695,Regular
2021-06800,Matthew,Burch,matthew.burch@school.edu.ph,16.0,2nd Year,BS Business Administration,B,3.19,24.0,41521.8,No,Region III,09246904500,Regular
2021-07738,Johnathan,Moore,johnathan.moore@school.edu.ph,21.0,1st Year,BS Civil Engineering,C,1.52,21.0,31743.32,No,Region IV-B,09170532937,Regular
2021-03617,Deborah,Hancock,deborah.hancock@school.edu.ph,26.0,2nd Year,BS Information Technology,B,2.63,24.0,51771.83,Yes,Region V,09639720207,Regular
2021-01357,Nicholas,Haas,nicholas.haas@school.edu.ph,16.0,4th Year,BS Nursing,A,2.32,15.0,27170.9,No,Region IX,09500431302,REGULAR
2021-00331,Matthew,Gonzalez,matthew.gonzalez@school.edu.ph,25.0,2nd Year,BS Business Administration,A,2.88,15.0,29543.53,Yes,Region VI,09944142304,Regular
2021-08623,Elizabeth,Scott,elizabeth.scott@school.edu.ph,21.0,Second Year,BS Education,A,3.37,21.0,45068.51,No,BARMM,09376230726,regular
2021-02259,Dylan,Booth,dylan.booth@school.edu.ph,24.0,1st Year,BS Information Technology,B,2.9,18.0,43168.22,No,Region XII,09153624456,Irregular
2021-01491,Amy,Jennings,amy.jennings@school.edu.ph,17.0,1st Year,BS Civil Engineering,A,2.45,24.0,46386.47,No,Region VIII,09794950649,Transferee
2021-05826,Daniel,White,daniel.white@school.edu.ph,19.0,2nd Year,BS Business Administration,A,3.36,18.0,33576.94,No,Region VIII,09592867625,REG
2021-09769,Kristen,Collins,kristen.collins@school.edu.ph,21.0,Fourth Year,BS Architecture,A,1.59,24.0,53788.82,No,Region IV-B,09600961460,Regular
2021-02803,Timothy,Adams,timothy.adams@school.edu.ph,20.0,4,BS Business Administration,A,2.78,15.0,37484.64,No,Region IV-B,09258304834,Irregular
2021-07145,David,Hansen,david.hansen@school.edu.ph,20.0,4th Year,BS Information Technology,B,3.09,24.0,55013.29,No,Region XII,09274382195,Regular
2021-01714,Gabrielle,Fisher,gabrielle.fisher@school.edu.ph,23.0,2nd Year,BS Civil Engineering,A,2.69,18.0,42998.05,No,Region X,09211937392,Regular
2021-08679,Robert,Mitchell,robert.mitchell@school.edu.ph,25.0,2nd Year,BS Tourism,A,1.61,18.0,33463.7,No,Region V,09651250266,Irregular
2021-09563,Walter,Wolfe,walter.wolfe@school.edu.ph,26.0,3rd Year,BS Business Administration,B,1.43,21.0,46531.77,No,Region XI,09783889701,Transferee
2021-00100,Ivan,Caldwell,ivan.caldwell@school.edu.ph,16.0,First Year,BS Architecture,C,2.3,24.0,56646.7,No,BARMM,09941854568,Regular
2021-09496,Todd,Norris,todd.norris@school.edu.ph,25.0,2nd Year,BS Business Administration,B,2.95,15.0,25726.45,Yes,Region XI,09897801414,Regular
2021-02675,Jonathan,Jimenez,jonathan.jimenez@school.edu.ph,25.0,4th Year,BS Computer Science,B,3.19,15.0,29692.18,No,Region IX,09558346197,Regular
2021-07786,Craig,Adams,craig.adams@school.edu.ph,120.0,2nd Year,BS Nursing,C,2.39,18.0,44623.81,No,NCR,09184883287,Regular
2021-09265,William,Smith,william.smith@school.edu.ph,18.0,3rd Year,BS Education,A,2.08,15.0,30944.77,Yes,Region V,,REG
2021-01347,Michael,Gonzalez,michael.gonzalez@school.edu.ph,19.0,2nd Year,BS Computer Science,C,2.9,21.0,44932.18,Yes,Region VIII,09240875515,Regular
2021-07633,Shelby,Wood,shelby.wood@school.edu.ph,18.0,2nd Year,BS Architecture,A,2.47,21.0,36170.51,No,Region II,09581648264,Regular
2021-09681,Andrew,Wood,andrew.wood@school.edu.ph,22.0,2,BS Computer Science,C,,21.0,39844.53,No,Region IV-B,09483008202,Regular
2021-07531,Carlos,Perry,carlos.perry@school.edu.ph,22.0,1st Year,BS Business Administration,D,1.28,21.0,36057.44,No,Region VIII,09419428362,REG
2021-02415,Jesse,Mcdonald,jesse.mcdonald@school.edu.ph,20.0,2nd Year,BS Accountancy,B,2.3,18.0,42839.55,No,Region VI,09551109264,Transferee
2021-06474,Rose,Wolf,rose.wolf@school.edu.ph,22.0,4th Year,BS Education,B,2.58,24.0,49607.72,No,Region IX,09465387156,Regular
2021-02073,Kenneth,Murphy,KENNETH.MURPHY@SCHOOL.EDU.PH,19.0,1st Year,BS Accountancy,C,1.47,21.0,50989.68,No,Region III,09407974693,Regular
2021-00434,Dana,Bell,dana.bell@school.edu.ph,16.0,FIRST YEAR,BS Architecture,C,,18.0,41910.01,No,NCR,09271053100,transfer
2021-06485,William,Valenzuela,william.valenzuela@school.edu.ph,24.0,1st Year,BS Psychology,B,1.71,21.0,50843.92,Yes,Region IV-B,09783479418,REG
2021-08258,Robert,Perry,ROBERT.PERRY@SCHOOL.EDU.PH,21.0,4th Year,BS Psychology,A,3.47,24.0,55440.6,No,Region II,09861986459,Regular
2021-04778,Anthony,Carpenter,anthony.carpenter@school.edu.ph,26.0,Year 1,BS Architecture,D,2.63,15.0,26932.77,Yes,NCR,09534439603,Regular
2021-00914,Jamie,Nguyen,jamie.nguyen@school.edu.ph,18.0,2nd Year,BS Computer Science,B,2.89,15.0,23513.95,No,Region I,09184761083,reg
2021-08715,Jonathan,Ellis,jonathan.ellis@school.edu.ph,26.0,4th Year,BS Psychology,B,1.79,21.0,51269.09,No,BARMM,09902722296,REG
